Tracker;Status;Priority;Subject;Category;Estimated time;Description;Caratteristica di riferimento;id;assegnatario;tempo impiegato;hash commit;Commento
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.""";CRITICAL;7min;"Key: AYiMxjIaXwWVr5mP8Fch Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASquadtree.java - startLine: 527;startOffset: 12;endOffset: 16;endLine: 527";Maintenance (Code Smells);91;Claudia Stallone;5 minuti;10bbe2e0bf1f3cce39dc13a390c7632d02f9d4a3;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.""";CRITICAL;12min;"Key: AYiMxjArXwWVr5mP8E3I Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASinventory.java - startLine: 88;startOffset: 12;endOffset: 25;endLine: 88";Maintenance (Code Smells);92;Claudia Stallone;10 minuti;a418f8a0d28f9bf6f9217d485c8087a9f790cfac;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 74 to the 15 allowed.""";CRITICAL;1h4min;"Key: AYiMxjBcXwWVr5mP8E30 Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwaveform13reader.java - startLine: 99;startOffset: 12;endOffset: 16;endLine: 99";Maintenance (Code Smells);93;Claudia Stallone;20 minuti;23e4bca6a57773426515a9313fc8df05f68992ff;
To-Do;New;Normal;"java:S6541:  ""A Brain Method was detected. Refactor it to reduce at least one of the following metrics: LOC from 173 to 64 Complexity from 28 to 14 Nesting Level from 3 to 2 Number of Variables from 15 to 6.""";INFO;0min;"Key: AYkoEniKmphovtQDnHIp Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASzip.java - startLine: 383;startOffset: 12;endOffset: 17;endLine: 383";Maintenance (Code Smells);94;Claudia Stallone;0 minuti;falso positivo;
To-Do;New;Normal;"java:S1110:  ""Remove these useless parentheses.""";MAJOR;1min;"Key: AYkn3qFf9Uk4jo9-G4ah Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 134;startOffset: 28;endOffset: 29;endLine: 134";Maintenance (Code Smells);95;Claudia Stallone;1 minuto;d47cd046a75a12d1ebb3e8b1e08451461cceb742;
To-Do;New;Normal;"java:S1110:  ""Remove these useless parentheses.""";MAJOR;1min;"Key: AYkn3qFf9Uk4jo9-G4ai Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 135;startOffset: 28;endOffset: 29;endLine: 135";Maintenance (Code Smells);96;Claudia Stallone;1 minuto;d47cd046a75a12d1ebb3e8b1e08451461cceb742;
To-Do;New;Normal;"java:S1110:  ""Remove these useless parentheses.""";MAJOR;1min;"Key: AYkn3qFf9Uk4jo9-G4aj Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 136;startOffset: 28;endOffset: 29;endLine: 136";Maintenance (Code Smells);97;Claudia Stallone;1 minuto;d47cd046a75a12d1ebb3e8b1e08451461cceb742;
To-Do;New;Normal;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5min;"Key: AYki7GcalI3zV_xHeVc8 Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASindex.java - startLine: 211;startOffset: 9;endOffset: 11;endLine: 211";Maintenance (Code Smells);98;Claudia Stallone;5 minuti;falso positivo;
To-Do;New;Normal;"java:S1192:  ""Define a constant instead of duplicating this literal No data 4 times.""";CRITICAL;10min;"Key: AYkiv6JWY-EfmL21FJY_ Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASpoint.java - startLine: 385;startOffset: 39;endOffset: 48;endLine: 385";Maintenance (Code Smells);99;Claudia Stallone;10 minuti;bdc20806bd904cf4e2d5709179fec3b99f492f5b;
To-Do;New;Normal;"java:S125:  ""This block of commented-out lines of code should be removed.""";MAJOR;5min;"Key: AYkipZZOnramcm-CpiRf Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASpoint.java - startLine: 443;startOffset: 10;endOffset: 88;endLine: 443";Maintenance (Code Smells);100;Claudia Stallone;5 minuti ;falso positivo;
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjIQXwWVr5mP8FYG Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/ByteStreamOutFile.java - startLine: 40;startOffset: 46;endOffset: 57;endLine: 40";Maintenance (Code Smells);101;Claudia Stallone;2 minuti;falso positivo;
To-Do;New;Normal;"java:S125:  ""This block of commented-out lines of code should be removed.""";MAJOR;5min;"Key: AYiMxjEeXwWVr5mP8FCF Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 412;startOffset: 23;endOffset: 123;endLine: 412";Maintenance (Code Smells);102;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S125:  ""This block of commented-out lines of code should be removed.""";MAJOR;5min;"Key: AYiMxjEeXwWVr5mP8FCJ Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 952;startOffset: 19;endOffset: 132;endLine: 952";Maintenance (Code Smells);103;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
